,Course_Name,Course_Description,Prerequisites
375,LTWR 121. Media Writing Workshop (4),"Workshop focusing on the review, the op-ed piece, the column, the blurb, the profile, the interview, and “content-providing” for websites. We’ll examine current examples of media writing; students will produce a body of work and critique one another’s productions. May be taken for credit up to three times.Restricted to major/minor code LT34 during first pass of registration. All other students may register during second pass of registration with the approval of the department.  ",  LTWR 8C.
376,LTWR 122. Writing for the Sciences Workshop (4),"A workshop in writing about science for the public. Students will study and then construct metaphors or analogues that introduce readers to scientific perplexities. Completion of LTWR 8A, 8B, or 8C highly recommended. May be taken for credit up to three times. Restricted to major/minor code LT34 during first pass of registration. All other students may register during second pass of registration with the approval of the department.",
377,LTWR 124. Translation of Literary Texts Workshop (4),A writing workshop on the theory and practice of literary translation. Students will translate literary texts and workshop with the instructor and other course members. Selected readings in translation theory. May be taken for credit up to three times. Restricted to major/minor code LT34 during first pass of registration. All other students may register during second pass of registration with the approval of the department.  ,"  LTWR 8A, 8B, or 8C."
378,LTWR 126. Creative Nonfiction Workshop (4),"A writing, reading, and critical-thinking workshop designed to produce nonfiction pieces that fall outside the limits of the essay form. Included are travel narratives, memoir, and information-based writing that transform their own materials into compelling literature. May be taken for credit up to three times. Restricted to major/minor code LT34 during first pass of registration. All other students may register during second pass of registration with the approval of the department.  ",  LTWR 8C.
379,LTWR 129. Distributing Literature Workshop (4),Workshop designed to critique and engage the means of distributing literature within culture. Publishing from “zine” through mainstream publication; web publishings; readings and “slams”; publicity and funding; colloquia with writers; politics and literature; and the uses of performance and media. May be taken for credit up to three times. Restricted to major/minor code LT34 during first pass of registration. All other students may register during second pass of registration with the approval of the department.  ,"  LTWR 100, LTWR 102, or LTWR 120."
380,LTWR 140. History of Writing (4),A review of the history of the development of alphabets and writing systems. Survey of the rise of literacy since the fifteenth century and analysis of continuing literacy problems in developed and developing countries. Restricted to major/minor code LT34 during first pass of registration. All other students may register during second pass of registration with the approval of the department.,
381,LTWR 143. Stylistics and Grammar (4),A close look at sentence-level features of written discourse–stylistics and sentence grammars. Students will review recent research on these topics and experiment in their own writing with various stylistic and syntactic options. Restricted to major/minor code LT34 during first pass of registration. All other students may register during second pass of registration with the approval of the department.,
382,LTWR 144. The Teaching of Writing (4),Wide reading in current theory and practice of teaching writing in schools and colleges. Careful attention to various models of classroom writing instruction and to different approaches in the individual conference. Students in this course may observe instruction in the UC San Diego college writing programs or tutor first-year students in those programs.Restricted to major/minor code LT34 during first pass of registration. All other students may register during second pass of registration with the approval of the department.,
383,LTWR 148. Theory for Writers/Writing for Theory (4),"Hybrid workshop offering writing students a working knowledge of literary theory while exposing literature students to practical techniques from poetry, fiction, and nonfiction to refresh their writing of theoretical nonfiction texts. Discussion of student work and published work. Restricted to major/minor code LT34 during first pass of registration. All other students may register during second pass of registration with the approval of the department.",
384,LTWR 194. Capstone Course for Writing Majors (4),"An advanced seminar open to all writing majors in their senior year. Required for those interested in the Honors Program. It offers an integrative experience by considering key facets of the discipline and profession, including relationships between aesthetics/culture and politics, genre writing, craft/technique, literary theories/theories of writing, and distribution/publication. Restricted to major code LT34 or consent of the instructor and department.  ",  senior standing.
385,LTWR 195. Apprentice Teaching (4),Undergraduate instruction assistance. A student will 1) assist TA in editing students’ writing for LTWR 8A-B-C during class and outside of class; and 2) prepare a paper and report for the professor at the end of the quarter. May be taken for credit up to two times.  ,  department approval.
386,LTWR 196. Honors Thesis (4),Senior thesis research and writing for students who have been accepted for the Literature Honors Program.  ,  department approval.
387,LTWR 198. Directed Group Study (2 or 4),Directed group study in areas of writing not normally covered in courses. May be taken for credit up to three times. (P/NP grades only.),
388,LTWR 199. Special Studies (2 or 4),Tutorial; individual guidance in areas of writing not normally covered in courses. May be taken for credit up to three times. (P/NP grades only.)  ,  upper-division standing and department approval.
389,LTWR 215. Cross-Genre Workshop (4),"In the generative workshop, writers create intergenre works and practice unconventional workshopping techniques that function less as editorial roundtables and more as discussions of the relationships between aesthetics and culture.  ",  department approval.
390,LTWR 220. Topics in Writing (4),"This seminar will be organized around any of various topic areas relating to writing (fiction, poetry, cross-genre, theory). Topics might focus on a genre (film, popular novel, theatre) or on the transformations of a theme or metaphor (nation, femininity, the uncanny). S/U grades only. May be taken for credit three times as content varies.  ","  admission to the MFA in writing, major code LT84."
391,LTWR 295. MFA Thesis (1–12),Research for master’s thesis. Offered for repeated registration. Open only to MFA students.  ,  department approval.
392,LTWR 298. Directed Studies: Writing Course (1–12),"This course may be designed according to an individual student’s needs when seminar offerings do not cover subjects, genres, or authors of interest. May be applied toward the guided research or graduate seminar in literature requirement of the MFA program. Repeatable for credit.  ",  department approval.
0,DSC 10. Principles of Data Science (4),"This introductory course develops computational thinking and tools necessary to answer questions that arise from large-scale datasets. This course emphasizes an end-to-end approach to data science, introducing programming techniques in Python that cover data processing, modeling, and analysis. ", none.
1,DSC 20. Programming and Basic Data Structures for Data Science (4),"Provides an understanding of the structures that underlie the programs, algorithms, and languages used in data science by expanding the repertoire of computational concepts introduced in DSC 10 and exposing students to techniques of abstraction. Course will be taught in Python and will cover topics including recursion, higher-order functions, function composition, object-oriented programming, interpreters, classes, and simple data structures such as arrays, lists, and linked lists. ", DSC 10. Restricted to students within the DS25 major. All other students will be allowed as space permits.
2,DSC 30. Data Structures and Algorithms for Data Science (4),"Builds on topics covered in DSC 20 and provides practical experience in composing larger computational systems through several significant programming projects using Java. Students will study advanced programming techniques including encapsulation, abstract data types, interfaces, algorithms and complexity, and data structures such as stacks, queues, priority queues, heaps, linked lists, binary trees, binary search trees, and hash tables. ", DSC 20. Restricted to students within the DS25 major. All other students will be allowed as space permits.
3,DSC 40A. Theoretical Foundations of Data Science I (4),"This course, the first of a two-course sequence (DSC 40A-B), will introduce the theoretical foundations of data science. Students will become familiar with mathematical language for expressing data analysis problems and solution strategies, and will receive training in probabilistic reasoning, mathematical modeling of data, and algorithmic problem solving. DSC 40A will introduce fundamental topics in machine learning, statistics, and linear algebra with applications to data analysis. DSC 40A-B connect to DSC 10, 20, and 30 by providing the theoretical foundation for the methods that underlie data science. "," DSC 10, MATH 20C or MATH 31BH, and MATH 18 or MATH 20F or MATH 31AH. Restricted to students within the DS25 major. All other students will be allowed as space permits."
4,DSC 40B. Theoretical Foundations of Data Science II (4),"The sequence DSC 40A-B introduces the theoretical foundations of data science and covers the following topics: mathematical language for expressing data analysis problems and solution strategies, probabilistic reasoning, mathematical modeling of data, and algorithmic problem solving. DSC 40B, the second course in the sequence, introduces fundamental topics in combinatorics, graph theory, probability, and continuous and discrete algorithms with applications to data analysis. ", DSC 20 and 40A. Restricted to students within the DS25 major. All other students will be allowed as space permits.
5,DSC 80. The Practice and Application of Data Science (4),"The marriage of data, computation, and inferential thinking, or “data science,” is redefining how people and organizations solve challenging problems and understand the world. This course bridges lower- and upper-division data science courses as well as methods courses in other fields. Students master the data science life-cycle and learn many of the fundamental principles and techniques of data science spanning algorithms, statistics, machine learning, visualization, and data systems. ", DSC 30 and DSC 40A. Restricted to students within the DS25 major. All other students will be allowed as space permits.
6,DSC 90. Seminar in Data Science (2),Students will learn about a variety of topics in data science through interactive presentations from faculty and industry professionals. ,DSC 10. Restricted to students within the DS25 major. All other students will be allowed as space permits.
7,DSC 95. Tutor Apprenticeship in Data Science (2),Students will receive training in skills and techniques necessary to be effective tutors for data science courses. Students will also gain practical experience in tutoring students on data science topics. ,DSC 10. Students must have applied for and been accepted as a tutor for a DSC course for the first time; enrollment in DSC 95 is required for these students.
8,DSC 96. Workshop in Data Science (2),Students will explore topics and tools relevant to the practice of data science in a workshop format. The instructor works with students on guided projects to help students acquire knowledge and skills to complement their course work in the core data science classes. Topics vary from quarter to quarter. Students are strongly recommended to enroll in either DSC 10 or DSC 20 concurrently. ,Restricted to students within the DS25 major. All other students will be allowed as space permits.
9,DSC 97. Internship in Data Science (2 or 4),"Individual research on a topic related to data science, by special arrangement with and under the direction of a UC San Diego faculty member, in connection with an internship at an organization. Internship work will inform but not necessarily define the research topic. The research topic is expected to promote the study of the principles and techniques involved in the internship work. May be taken for credit up to two times. ","MATH 20C or MATH 31BH and MATH 18 or MATH 31AH and DSC 20 and DSC 40A. Completion of thirty units at UC San Diego with a university GPA of 3.0. Special Studies form, consent of the instructor, and approval of the department required. Priority enrollment is given to data science majors DS25. Restricted to first-year and sophomore level students."
10,DSC 98. Directed Group Study in Data Science (2 or 4),"Students will investigate a topic in data science through directed reading, discussion, and project work under the supervision of a faculty member. May be taken for credit up to two times. ","MATH 20C or MATH 31BH and MATH 18 or MATH 31AH and DSC 20 and DSC 40A. Completion of thirty units at UC San Diego with a university GPA of 3.0. Special Studies form, consent of the instructor, and approval of the department required. Priority enrollment is given to data science majors DS25. Restricted to first-year and sophomore level students."
11,DSC 99. Independent Study in Data Science (2 or 4),Students will participate in independent study or research in data science under the direction of a UC San Diego faculty member. May be taken for credit up to two times. ,"MATH 20C or MATH 31BH and MATH 18 or MATH 31AH and DSC 20 and DSC 40A. Completion of thirty units at UC San Diego with a university GPA of 3.0. Special Studies form, consent of the instructor, and approval of the department required. Priority enrollment is given to data science majors DS25. Restricted to first-year and sophomore level students."
12,DSC 100. Introduction to Data Management (4),"This course is an introduction to storage and management of large-scale data using classical relational (SQL) systems, with an eye toward applications in data science. The course covers topics including the SQL data model and query language, relational data modeling and schema design, elements of cost-based query optimizations, relational data base architecture, and database-backed applications. ", DSC 80 and DSC 40B. Restricted to students with upper-division standing. Restricted to students within the DS25 major. All other students will be allowed as space permits.
13,DSC 102. Systems for Scalable Analytics (4),"This course introduces the principles of computing systems and infrastructure for scaling analytics to large datasets. Topics include memory hierarchy, distributed systems, model selection, heterogeneous datasets, and deployment at scale. The course will also discuss the design of systems such as MapReduce/Hadoop and Spark, in conjunction with their implementation. Students will also learn how dataflow operations can be used to perform data preparation, cleaning, and feature engineering. ", DSC 100. Restricted to students with upper-division standing. Restricted to students within the DS25 major. All other students will be allowed as space permits.
14,DSC 104. Beyond Relational Data Management (4),"The course will introduce a variety of No-SQL data formats, data models, high-level query languages, and programming abstractions representative of the needs of modern data analytic tasks. Topics include hierarchical graph database systems, unrestricted graph database systems, array databases, comparison of expressive power of the data models, and parallel programming abstractions, including Map/Reduce and its descendants. ", DSC 100. Restricted to students with upper-division standing. Restricted to students within the DS25 major. All other students will be allowed as space permits.
15,DSC 106. Introduction to Data Visualization (4),"Data visualization helps explore and interpret data through interaction. This course introduces the principles, techniques, and algorithms for creating effective visualizations. The course draws on the knowledge from several disciplines including computer graphics, human-computer interaction, cognitive psychology, design, and statistical graphics and synthesizes relevant ideas. Students will design visualization systems using D3 or other web-based software and evaluate their effectiveness.", DSC 80. Restricted to students with upper-division standing. Restricted to students within the DS25 major. All other students will be allowed as space permits.
16,DSC 120. Signal Processing for Data Analysis (4),"This course will focus on ideas from classical and modern signal processing, with the main themes of sampling continuous data and building informative representations using orthonormal bases, frames, and data dependent operators. Topics include sampling theory, Fourier analysis, lossy transformations and compression, time and spatial filters, and random Fourier features and connections to kernel methods. Sources of data include time series and streaming signals and various imaging modalities. ", MATH 18 or MATH 31AH and MATH 20C and DSC 40B. Restricted to students with upper-division standing. Restricted to students within the DS25 major. All other students will be allowed as space permits.
17,DSC 140A. Probabilistic Modeling and Machine Learning (4),"The course covers learning and using probabilistic models for knowledge representation and decision-making. Topics covered include graphical models, temporal models, and online learning, as well as applications to natural language processing, adversarial learning, computational biology, and robotics. Prior completion of MATH 181A is strongly recommended. "," DSC 40B, DSC 80, and ECE 109 or ECON 120A or MAE 108 or MATH 180A or MATH 183 or MATH 186. Restricted to students with upper-division standing. Restricted to students within the DS25 major. All other students will be allowed as space permits."
18,DSC 155. Hidden Data in Random Matrices (4),"Rigorous treatment of principal component analysis, one of the most effective methods in finding signals amidst the noise of large data arrays. Topics include singular value decomposition for matrices, maximal likelihood estimation, least squares methods, unbiased estimators, random matrices, Wigner’s semicircle law, Markchenko-Pastur laws, universality of eigenvalue statistics, outliers, the BBP transition, applications to community detection, and stochastic block model. ", MATH 180A and (MATH 18 or MATH 31AH). Completion of MATH 102 is encouraged but not required. Students will not receive credit for both MATH 182 and DSC 155.
19,DSC 160. Data Science and the Arts (4),"This course addresses the intersection of data science and contemporary arts and culture, exploring four main themes of authorship, representation, visualization, and data provenance. The course is not solely an introduction to data science techniques nor merely an arts practice course, but explores significant new possibilities for both fields arising from their intersection. Students will examine problems from complementary perspectives of artist-researchers and data scientists. ", DSC 80.
20,DSC 161. Text as Data (4),This class explores statistical and computational methods to enable students to use text as a data source in the social sciences. Hands-on examples will equip students to work with text data in final projects. , ECON 5 or POLI 170A or POLI 171 or POLI 30 or POLI 30D or POLI 5 or POLI 5D. Students will not receive credit for both POLI 176 and DSC 161. Restricted to junior and senior level students. Restricted to students with upper-division standing.
21,DSC 167. Fairness and Algorithmic Decision-Making (4),"This course examines the greater context under which the practice of data science exists and explores concrete ways these issues surface in technical work. Students learn frameworks for understanding how individuals relate to social institutions, how to use them to identify how issues of fairness arise in the “life of a data scientist,” and use them to propose and critique potential solutions. ", DSC 80.
22,DSC 170. Spatial Data Science and Applications (4),"Spatial data science is a set of concepts and methods that deal with accessing, managing, visualizing, analyzing, and reasoning about spatial data in applications where location, shape and size of objects, and their mutual arrangement are important. This upper-division course explores advanced data science concepts for spatial data, introducing students to principles and techniques of spatial data analysis, including geographic information systems, spatial big data management, and geostatistics. ", DSC 80. Restricted to students with upper-division standing.
23,DSC 180A. Data Science Project I (4),"In this two-course sequence students will investigate a topic and design a system to produce statistically informed output. The investigation will span the entire lifecycle, including assessing the problem, learning domain knowledge, collecting/cleaning data, creating a model, addressing ethical issues, designing the system, analyzing the output, and presenting the results. 180A deals with research, methodology, and system design. Students will produce a research summary and a project proposal. "," DSC 102 and MATH 189 and CSE 151A or COGS 188 or CSE 158, DSC 106. Restricted to students with upper-division standing. Restricted to students within the DS25 major."
24,DSC 180B. Data Science Project II (4),"In this two-course sequence students will investigate a topic and design a system to produce statistically informed output. The investigation will span the entire lifecycle, including assessing the problem, learning domain knowledge, collecting/cleaning data, creating a model, addressing ethical issues, designing the system, analyzing the output, and presenting the results. 180B will consist of implementing the project while studying the best practices for evaluation. ", DSC 180A. Restricted to students with upper-division standing. Restricted to students within the DS25 major.
25,DSC 190. Topics in Data Science (4),Topics of special interest in data science. Topics vary from quarter to quarter. May be taken for credit up to four times when topic varies. ,department and instructor approval required to monitor enrollment and to ensure that students have the sufficient educational background for a given topic. Restricted to students with upper-division standing.
26,DSC 191. Seminar in Data Science (1 or 2),A seminar course on topics of current interest in data science. Topics may vary from quarter to quarter. May be taken for credit three times. ,restricted to students with upper-division standing. Department and instructor approval is required to monitor enrollment and to ensure that students have the sufficient educational background for a given topic.
27,DSC 197. Data Science Internship (1–4),Directed study and research at laboratories/institutions outside of campus. ,restricted to students with upper-division standing. Consent of the instructor and approval of the department. An application for Special Studies must be filed with the Registrar’s office after approval from the instructor and the department chair.
28,DSC 198. Directed Group Study in Data Science (2 or 4),Data science topics whose study involves reading and discussion by a small group of students under supervision of a faculty member. May be taken for credit up to two times. ,restricted to students with upper-division standing. Consent of the instructor and approval of the department. Department stamp required. An application for Special Studies must be filed with the Registrar’s office after approval from the instructor and the department chair.
29,DSC 199. Independent Study for Data Science Undergraduates (2 or 4),Independent reading or research on a topic related to data science by special arrangement with a faculty member. May be taken for credit up to two times. ,restricted to students with upper-division standing. Consent of the instructor and approval of the department. An application for Special Studies must be filed with the Registrar’s Office after approval from the instructor and the department chair.
30,DSC 290. Seminar in Data Science (1 or 2),A graduate seminar course in which topics of special interest in data science will be presented by faculty or by graduate students under faculty direction. Restricted to graduate level students. May be repeated for credit twenty-four times as topics vary.,
31,DSC 291. Topics in Data Science (4),Topics of special interest in data science. Topics may vary quarter to quarter. Restricted to graduate level students. May be taken for credit up to nine times.,
32,DSC 500. Teaching Assistantship (2 or 4),"A course in which teaching assistants are aided in learning proper teaching methods by means of supervision of their work by the faculty: handling of discussions, preparation and grading of examinations and other written exercises, and student relations. Number of units for credit depends on number of hours devoted to class or section assistance. May be taken for credit up to seventy-two units. "," DSC 500 is for selected teaching assistants only; therefore, consent of instructor is required."
33,DSC 599. Teaching Methods in Data Science (2),Training in teaching methods in the field of data science. This course examines theoretical and practical communication and teaching techniques particularly appropriate to data science. , Consent of faculty required. Only graduate students who are TAing for the first time in the data science program are eligible to enroll.
0,PSYC 1. Psychology (4),"This course provides an overview of the basic concepts in psychology. Topics may include human information processing, learning and memory, motivation, development, language acquisition, social psychology, and personality.",
1,PSYC 2. General Psychology: Biological Foundations (4),"This course provides an introductory survey of the relationship between human behavior and brain function. Specific areas of emphasis include vision and other sensory processes, memory, motivation, attention, and cognition.",
2,PSYC 3. General Psychology: Cognitive Foundations (4),"This course provides an introduction to the basic concepts of cognitive psychology. Topics include perception, attention, memory, language, and thought. The relation of cognitive psychology to cognitive science and to neuropsychology is also covered.",
3,PSYC 4. General Psychology: Behavioral Foundations (4),"This course provides an introduction to behavioral psychology. Topics include classical conditioning, operant conditioning, animal learning, and motivation and behavior modification.",
4,PSYC 6. General Psychology: Social Foundations (4),"This course provides an introduction to social psychology. Topics may include emotion, aesthetics, behavioral medicine, person perception, attitudes and attitude change, and behavior in social organizations.",
5,PSYC 7. General Psychology: Developmental Foundations (4),"This course provides an introduction to theories and research results in developmental psychology, covering infancy through adulthood.",
6,PSYC 60. Introduction to Statistics (4),"This course provides an introduction to both descriptive and inferential statistics, core tools in the process of scientific discovery and the interpretation of research.",
7,PSYC 70. Research Methods in Psychology (4),"This course provides an overview of how to choose appropriate research methods for experimental and nonexperimental studies. Topics may include classic experimental design and counterbalancing, statistical power, and causal inference in experimental and nonexperimental settings. ", PSYC 60 or equivalent.
8,PSYC 71. Laboratory in Psychological Research Methods (4),"This course provides hands-on research experience. Lecture topics will include experimental and nonexperimental designs, research ethics, data analysis, and causal inference. Students will design original research projects, collect and analyze data, and write a full APA-style report, including a brief literature review relevant to their design. This course builds on PSYC 70 by applying design principles to students’ own research questions and ideas. ", PSYC 70 or COGS 14A.
9,"PSYC 81. Laboratory in Brain, Behavior, and Evolution (4)","This course provides students the opportunity to learn about the intricate relationship that exists between brain and behavior, as well as the evolutionary forces that shape this interaction. Lectures for this course aim to introduce students to some of the best examples in the literature that highlight these issues, while a parallel component of the course aims to introduce students to performing research on the topic. ", COGS 14B or Math 11 or PSYC 60.
10,PSYC 87. First-year Student Seminar (1),"The First-year Student Seminar Program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. First-year student seminars are offered in all campus departments and undergraduate colleges, and topics vary from quarter to quarter. Enrollment is limited to fifteen to twenty students, with preference given to entering first-year students.",
11,PSYC 88. Learning Sustainable Well-being (1),"This course provides an overview of how to practice well-being, with principles based on mindfulness, positive psychology, cognitive therapy, and neuroscience. Each week, there is a short lecture on a given topic, combined with workshop-style exercises.",
12,PSYC 90. Undergraduate Seminar (1),"This seminar introduces the various subdisciplines in psychology and their research methods, and also explores career and graduate school opportunities. This includes informal presentations by faculty, graduate students, and other professionals.",
13,PSYC 93. Topics in Psychology (4),Selected topics in the field of psychology. May be repeated for credit as topics vary.,
14,PSYC 99. Independent Study (2 or 4),Independent study or research under direction of a member of the faculty. May be taken up to three times for a maximum of twelve units. ," lower-division standing, completion of at least thirty units of undergraduate study at UC San Diego with a minimum UC San Diego GPA of 3.0; completed and approved Special Studies form."
15,PSYC 100. Clinical Psychology (4),"This course provides a comprehensive overview of the causes, characteristics, and treatment of psychological disorders. Particular emphasis is given to the interaction between biological, psychological, and sociocultural processes contributing to abnormal behavior. Students may not receive credit for both PSYC 163 and PSYC 100. ", upper-division standing.
16,PSYC 101. Developmental Psychology (4),"This course provides a comprehensive overview of the field of developmental psychology, including topics in cognitive, language, and social development. ", upper-division standing.
17,PSYC 102. Sensory Neuroscience (4),"This course provides a comprehensive overview of the neural mechanisms that support vision, audition, touch, olfaction, and taste. ", upper-division standing.
18,PSYC 104. Social Psychology (4),"This course provides a comprehensive overview of the field of social psychology, covering a review of the field’s founding principles, classic findings, and a survey of recent findings. Topics will include social perception, attributions and attitudes, stereotypies, social influence, group dynamics, and aggressive and prosocial tendencies. ", upper-division standing.
19,PSYC 105. Cognitive Psychology (4),"This course provides a comprehensive overview of cognitive psychology, the scientific study of mental processes: how people acquire, store, transform, use, and communicate information. Topics may include perception, attention, language, memory, reasoning, problem solving, decision-making, and creativity. ", upper-division standing.
20,PSYC 106. Behavioral Neuroscience (4),"This course provides a comprehensive overview of human and animal behavior from a neuroscience perspective. Topics include the functions and mechanisms of perception, motivation (sex, sleep, hunger, emotions), learning and memory, and motor control and movement. ", upper-division standing.
21,PSYC 108. Cognitive Neuroscience (4),"This course provides a comprehensive overview of neuroanatomy and major methods and results from neuroimaging and neuropsychological studies of behavior. Topics include attention, motor control, executive function, memory, learning, emotion, and language. ", upper-division standing.
22,PSYC 110. Juniors Honors Research Seminars (4),"This course provides research seminars by a range of departmental faculty, exposing students to contemporary research problems in many areas of psychology. Class discussions will follow faculty presentations. Must be taken for a letter grade for the Psychology Honors Program. ", upper-division standing. Admission by application. Department approval.
23,PSYC 111A. Research Methods I (6),"This course provides training in applying advanced statistical methods to experimental design. Emphasis will be placed on the developing skills in statistical problem-solving, using computer applications, and writing scientific reports. Must be taken for a letter grade for the Psychology Honors Program. ", upper-division standing. Open to honors students or by consent of instructor. Instructor and department approval.
24,PSYC 111B. Research Methods II (6),"This course builds upon the material of PSYC 111A. Students will participate in data collection, data organization, statistical analysis and graphical analysis, with emphasis placed on developing scientific report writing, presentations, and critical thinking about experimental methods. Must be taken for a letter grade for the Psychology Honors Program. ", PSYC 111A; upper-division standing. Instructor and department approval.
25,PSYC 113. Electroencephalogram (EEG) Lab (4),"This course provides training in the design, execution, and analysis of electroencephalogram (EEG) experiments to study perception and cognition. The course will provide basic background on the EEG methodology: what and how neural signals are measured with EEG, how to interpret them, and how to design experiments. It will also provide hands-on training on conducting an EEG study: we will design and run experiments together in the laboratory, analyze the data, and discuss the results. "," PSYC 60 or COGS 14B, and PSYC 70 or COGS 14A, and COGS 101A or COGS 107A or COGS 107B or COGS 107C or PSYC 102 or PSYC 106 or PSYC 108. Department approval."
26,PSYC 114. Psychophysiological Perspectives on the Social Mind Laboratory (4),This course provides an overview and training in the use of psychophysiological methods to investigate the cognitive and emotional process involved in understanding and reacting to other people. Students will develop individual research questions and actively participate in designing and conducting the experiments. , upper-division standing.
27,PSYC 115A. Laboratory in Cognitive Psychology I (4),"This course provides training in the design, execution, and analysis of cognitive psychology experiments. Students may not receive credit for both PSYC 115 and PSYC 115A. ", upper-division standing and PSYC 60 or equivalent; an interview with the instructor is required.
28,PSYC 115B. Laboratory in Cognitive Psychology II (4),"This course is designed to extend the training of PSYC 115A in the design, execution, and analysis of cognitive psychology experiments. Students may not receive credit for both PSYC 115 and PSYC 115B. ", upper-division standing and PSYC 115A. Instructor and department approval.
29,PSYC 116A. Laboratory in Clinical Psychology Research I (4),"This course, the first in a sequence of three courses, provides an applied examination of theory, research design, and methods for clinical research to support an independent study in research at a clinical research lab. "," upper-division standing, PSYC 70, PSYC 100, and instructor and department approval."
30,PSYC 116B. Laboratory in Clinical Psychology Research II (4),"This course, the second in a sequence of three courses, provides an advanced applied examination of theory, research design, and methods for clinical research to support an independent study in research at a clinical research lab. ", PSYC 116A.
31,PSYC 116C. Laboratory in Clinical Psychology Research III (4),"This course, the third in a sequence of three courses, provides the culmination of an applied examination of theory, research design, and methods for clinical research to support an independent study in research at a clinical research lab. ", PSYC 116B.
32,PSYC 117. Laboratory in Educational Research and Outreach (4),This course provides experience conducting educational research and outreach for children in greater San Diego County. May be taken for credit three times. , upper-division standing. Instructor approval.
33,PSYC 118. Laboratory in Animal Behavior (4),This course provides an opportunity to learn about the various evolutionary forces that shape a species’ natural behavioral repertoire while also conducting research related to these issues. Classroom lectures on topics related to ethology will be complemented by a research project in which students collect observational data on animal behavior. , upper-division standing and department approval.
34,PSYC 120. Learning and Motivation (4),"This course provides a survey of research and theory in learning and motivation. Topics include instincts, reinforcement, stimulus control, choice, and human application. ", upper-division standing. Must be taken concurrently with PSYC 121 or PSYC 140.
35,PSYC 121. Laboratory in Operant Psychology (4),This course provides laboratory experience in operant psychology. , upper-division standing. May be taken concurrently with PSYC 120.
36,PSYC 122. Mechanisms of Animal Behavior (4),This course focuses on approaches to the study of behavior and its underlying fundamental units of analysis in human and nonhuman animals. Students may not receive credit for both PSYC 122 and PSYC 103. , upper-division standing.
37,PSYC 123. Cognitive Control and Frontal Lobe Function (4),"This course provides an understanding of how the frontal lobes allow us to engage in complex mental processes. Topics may include anatomy and theory of prefrontal function, frontal lobe clinical syndromes, pharmacology and genetics, emotion control, and cognitive training. ", upper-division standing. Instructor and department approval.
38,PSYC 124. Clinical Assessment and Treatment (4),"This course provides an introduction to the history, purpose, and recent changes to the Diagnostic and Statistical Manual of Mental Disorders along with appropriate evidence-based interventions. Other topics include psychiatric emergencies, crisis management, and ethics. Recommended preparation: Completion of PSYC 100. ", upper-division standing.
39,PSYC 125. Clinical Neuropsychology (4),"This course provides a fundamental understanding of brain-behavior relationships as applied to the practice of clinical neuropsychology. Major topics include functional neuroanatomy, principles of neuropsychological assessment and diagnosis, and the neuropsychological presentation of common neurologic and psychiatric conditions. ", upper-division standing.
40,PSYC 126. Practicum in Community Mental Health Care (4),"This course provides experience with clients in a community mental health care setting, under professional supervision. Seminar-based instruction also provides a framework for understanding theoretical, practical, and ethical issues related to client care. ", PSYC 100 and PSYC 124 and department approval.
41,PSYC 128. Psychology of Reading (4),"This course provides basic information about the nature of reading. Topics include word recognition, eye movements, inner speech, sentence processing, memory for text, learning to read, methods for teaching reading, reading disabilities and dyslexia, and speed-reading. Recommended preparation: completion of PSYC 105 or PSYC 145. ", upper-division standing.
42,PSYC 129. Logic of Perception (4),"This course provides an overview of how we perceive the world. Topics include classic studies in perception, discussion of the view that perception is “logical,” and new insights into the neural mechanisms underlying perception. ", upper-division standing.
43,PSYC 130. Delay of Gratification (4),"This course provides a review of research on delay of gratification. Topics include what makes it so tough, in what situations it is possible, who can do it, and the implications of this ability. ", upper-division standing.
44,"PSYC 131. Scientific Racism: Genetics, Intelligence, and Race (4)","This course provides a background into the origins and implementation of scientific racism, especially since the nineteenth century. Topics may include race/ethnicity and genetics, intelligence, nationalism, criminality, human performance, and morphometry. ", upper-division standing.
45,PSYC 132. Hormones and Behavior (4),"This course examines how hormones influence a variety of behaviors and how behavior reciprocally influences hormones. Specific topics covered include aggression, sex and sexuality, feeding, learning, memory, mood and neural mechanisms both in humans and nonhuman animals. Recommended preparation: completion of PSYC 106. ", upper-division standing.
46,PSYC 133. Circadian Rhythms—Biological Clocks (4),"This interdisciplinary course provides an overview of the fundamental properties of daily biological clocks of diverse species, from humans to microbes. Emphasis is placed on the relevance of internal time keeping in wide-ranging contexts including human performance, health, and industry. Cross-listed with BIMM 116. ", upper-division standing. BILD 1 or COGS 107B or PSYC 106 or consent of instructor.
47,PSYC 134. Eating Disorders (4),"This course provides an overview of the biology and psychology of eating disorders such as anorexia nervosa, bulimia nervosa, and binge eating disorder. Abnormal, as well as normal, eating will be discussed from various perspectives including endocrinological, neurobiological, psychological, sociological, and evolutionary. ", upper-division standing.
48,PSYC 136. Cognitive Development (4),"This course provides an overview of how children’s thinking develops. Topics may include perception, concept formation, memory, problem solving, and social cognition. ", upper-division standing; PSYC 101 or PSYC 105.
49,PSYC 137. Social Cognition (4),"This course provides an overview of social cognition, which blends cognitive and social psychology to understand how people make sense of the social world. Topics may include social perception, inference, memory, motivation, affect, understanding the self, stereotypes, and cultural cognition. ", upper-division standing.
